"Timestamp","This is a survey about help resources available to the public for such issues as addictions, bullying, mental health etc. do you feel comfortable answering questions about these topics?","Are you currently a student in college / university?","What age group do you fall into ","If you know someone experiencing hardship, would you be able to let them know what local services are available?","List all the local help services you can think of ","Would you like to learn more about local help services?","If there was a free web service informing you of nearby mental health support or programs would you use it? ","Do you think it would be helpful if there was a website with links to help that it would make things easer?","If you have any additional comments or concerns feel free to leave a comment and a contact form (if you are comfortable)"
"2022/03/15 3:16:42 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","20 and under","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","Yes","Yes","4",""
"2022/03/15 4:11:33 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","21-25","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","Yes","No","4",""
"2022/03/15 4:13:04 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","20 and under","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","Yes","Yes","5","C:"
"2022/03/15 4:40:20 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","20 and under","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","Yes","Yes","4",""
"2022/03/15 4:42:27 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","20 and under","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","Yes","Yes","4",""
"2022/03/15 4:44:16 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","20 and under","I have NO knowledge and would have to google local services on the spot","","No","Yes","5","N/A"
"2022/03/15 4:44:56 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","20 and under","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","Yes","No","5",""
"2022/03/15 4:45:09 PM MDT","yes, I would like to continue","no, I am NOT currently enrolled in college/university","21-25","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","Yes","Yes","4",""
"2022/03/15 4:46:10 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","20 and under","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","No","Yes","3",""
"2022/03/15 4:46:21 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","20 and under","I have NO knowledge and would have to google local services on the spot","","Yes","Yes","4","No"
"2022/03/15 4:55:32 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","21-25","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","Yes","Yes","4",""
"2022/03/15 5:00:25 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","20 and under","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","Yes","Yes","4",""
"2022/03/15 5:00:59 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","20 and under","I am SOMEWHAT knowledgeable and would be able to list maybe 1 or 2 services","","Yes","Yes","5",""
"2022/03/15 5:02:53 PM MDT","yes, I would like to continue","no, I am NOT currently enrolled in college/university","21-25","I have NO knowledge and would have to google local services on the spot","","Yes","Yes","3",""
"2022/03/15 5:04:50 PM MDT","yes, I would like to continue","yes, I am currently enrolled in college/university","21-25","I have NO knowledge and would have to google local services on the spot","","Yes","Yes","4",""
